question_text,question_tokens,predicted_parametric_answers,answer,Unnamed: 0
what is the role of hcl in your stomach,"['what', 'is', 'the', 'role', 'of', 'hcl', 'in', 'your', 'stomach']",digestion of proteins," digestion of proteins , by activating digestive enzymes , and making ingested proteins unravel so that digestive enzymes break down the long chains of amino acids",3809
what is the role of the endolymph of the semicircular canals,"['what', 'is', 'the', 'role', 'of', 'the', 'endolymph', 'of', 'the', 'semicircular', 'canals']",vestibular receptors of the endolymph the semicircular canals of both inner ears act in concert to coordinate balance, Balance,6
what is the scientific name of jasmine flower,"['what', 'is', 'the', 'scientific', 'name', 'of', 'jasmine', 'flower']",jasminum, Jasminum,4490
what is the shortest player in the nfl,"['what', 'is', 'the', 'shortest', 'player', 'in', 'the', 'nfl']",trindon jerard holliday, Trindon Jerard Holliday,4504
what is the song state of love and trust about,"['what', 'is', 'the', 'song', 'state', 'of', 'love', 'and', 'trust', 'about']",battling with your instincts in love, being faithful,2996
what is the southern most point in canada,"['what', 'is', 'the', 'southern', 'most', 'point', 'in', 'canada']",middle island, Middle Island,2602
what is the tallest monument in the united states,"['what', 'is', 'the', 'tallest', 'monument', 'in', 'the', 'united', 'states']",the gateway arch, Gateway Arch,3080
what is the terminal part of the small intestine,"['what', 'is', 'the', 'terminal', 'part', 'of', 'the', 'small', 'intestine']",ileum, ileum,5502
what is the third level of government in australia,"['what', 'is', 'the', 'third', 'level', 'of', 'government', 'in', 'australia']",local government, Local government,2821
what is the tigers name off of aladdin,"['what', 'is', 'the', 'tigers', 'name', 'off', 'of', 'aladdin']",rajah, Rajah,1879
what is the time zone for the us,"['what', 'is', 'the', 'time', 'zone', 'for', 'the', 'us']",the atlantic standard time zone, The Atlantic standard time zone,1977
what is the toll for throgs neck bridge,"['what', 'is', 'the', 'toll', 'for', 'throgs', 'neck', 'bridge']",, $8.50 ( Tolls By Mail and non-New York E-ZPass ),5221
what is the traditional dividing line between europe and asia,"['what', 'is', 'the', 'traditional', 'dividing', 'line', 'between', 'europe', 'and', 'asia']",along the kuma manych depression, Ural Mountains,1637
what is the true power source for the sun and other main sequence stars,"['what', 'is', 'the', 'true', 'power', 'source', 'for', 'the', 'sun', 'and', 'other', 'main', 'sequence', 'stars']",hydrogen into helium, hydrogen,3187
what is the wave speed of radio waves,"['what', 'is', 'the', 'wave', 'speed', 'of', 'radio', 'waves']",gigahertz, as high as 300 gigahertz ( GHz ) to as low as 30 hertz ( Hz ),1124
what is the weight of a garage door,"['what', 'is', 'the', 'weight', 'of', 'a', 'garage', 'door']",lb kg, 400 lb ( 181.4 kg ) or more,4761
what is the weight of a polaris slingshot,"['what', 'is', 'the', 'weight', 'of', 'a', 'polaris', 'slingshot']",pounds kg," 1,743 pounds ( 791 kg )",1057
what is the westernmost point of the united states,"['what', 'is', 'the', 'westernmost', 'point', 'of', 'the', 'united', 'states']",point udall guam," Point Udall , Guam",3707
what is the world record time for the kentucky derby,"['what', 'is', 'the', 'world', 'record', 'time', 'for', 'the', 'kentucky', 'derby']",," 1 : ​ 59 ⁄ , Secretariat ( 1973 )",5101
what is the worth of the catholic church,"['what', 'is', 'the', 'worth', 'of', 'the', 'catholic', 'church']",billion, $140 billion +,101
what is unique about the digestive system in platyhelminthes,"['what', 'is', 'unique', 'about', 'the', 'digestive', 'system', 'in', 'platyhelminthes']",the flatworms, only one opening for both ingestion ( intake of nutrients ) and egestion ( removal of undigested wastes ),4520
what kind of animal is boots from dora,"['what', 'kind', 'of', 'animal', 'is', 'boots', 'from', 'dora']",anthropomorphic monkey, anthropomorphic monkey,1909
what kind of bird is the aflac mascot,"['what', 'kind', 'of', 'bird', 'is', 'the', 'aflac', 'mascot']",duck, duck,2131
what kind of bomb did the us drop on japan,"['what', 'kind', 'of', 'bomb', 'did', 'the', 'us', 'drop', 'on', 'japan']",nuclear weapons, nuclear weapons,619
what kind of bombs were used in boston,"['what', 'kind', 'of', 'bombs', 'were', 'used', 'in', 'boston']",pressure cooker bombs, Pressure cooker bombs,1617
what kind of book is charlie and the chocolate factory,"['what', 'kind', 'of', 'book', 'is', 'charlie', 'and', 'the', 'chocolate', 'factory']",children s novel, children 's novel,3570
what kind of chinese do they speak in beijing,"['what', 'kind', 'of', 'chinese', 'do', 'they', 'speak', 'in', 'beijing']",mandarin, Mandarin,666
what kind of currency is used in australia,"['what', 'kind', 'of', 'currency', 'is', 'used', 'in', 'australia']",dollar, The Australian dollar ( sign : $ ; code : AUD ),1186
what kind of dog did they use in game of thrones,"['what', 'kind', 'of', 'dog', 'did', 'they', 'use', 'in', 'game', 'of', 'thrones']",direwolves, Northern Inuit dogs,6052
what kind of dog is hank the cow dog,"['what', 'kind', 'of', 'dog', 'is', 'hank', 'the', 'cow', 'dog']",purebred top of the line blue ribbon cowdog but is in fact most likely a mutt, mutt,4146
what kind of engines are in nascar cars,"['what', 'kind', 'of', 'engines', 'are', 'in', 'nascar', 'cars']",efi v, EFI V8,1386
what kind of fish live in salt water,"['what', 'kind', 'of', 'fish', 'live', 'in', 'salt', 'water']",euryhaline organisms, euryhaline,3845
what kind of grass does the white house have,"['what', 'kind', 'of', 'grass', 'does', 'the', 'white', 'house', 'have']",, tall fescue ( Festuca arundinacea ),3493
what kind of plane was the spirit of st louis,"['what', 'kind', 'of', 'plane', 'was', 'the', 'spirit', 'of', 'st', 'louis']",single engine single seat monoplane," single engine , single - seat monoplane",3382
what kinds of cases are heard in district court,"['what', 'kinds', 'of', 'cases', 'are', 'heard', 'in', 'district', 'court']",civil and criminal, civil and criminal,972
what language is the opening of the lion king,"['what', 'language', 'is', 'the', 'opening', 'of', 'the', 'lion', 'king']",zulu, Zulu,191
what materials were used in ancient greek architecture,"['what', 'materials', 'were', 'used', 'in', 'ancient', 'greek', 'architecture']",stone limestone, Limestone,1802
what months does it rain the most in florida,"['what', 'months', 'does', 'it', 'rain', 'the', 'most', 'in', 'florida']",may through october, May through October,5815
what movie is i cross my heart from,"['what', 'movie', 'is', 'i', 'cross', 'my', 'heart', 'from']",pure country, Pure Country,4625
what movie was the song stand by me in,"['what', 'movie', 'was', 'the', 'song', 'stand', 'by', 'me', 'in']",," Stand by Me ( film ) , a 1986 American drama film directed by Rob Reiner , based on the novella The Body by Stephen King",1140
what name does bastian give the empress in the neverending story,"['what', 'name', 'does', 'bastian', 'give', 'the', 'empress', 'in', 'the', 'neverending', 'story']",moon child, Moon Child,5198
what native american tribe lived at san juan capistrano,"['what', 'native', 'american', 'tribe', 'lived', 'at', 'san', 'juan', 'capistrano']",the juane o, The Juaneño or Acjachemen,372
what number was texas to join the united states,"['what', 'number', 'was', 'texas', 'to', 'join', 'the', 'united', 'states']",six, 28th,4360
what occurs at a full moon when the earth is directly between the moon and the sun,"['what', 'occurs', 'at', 'a', 'full', 'moon', 'when', 'the', 'earth', 'is', 'directly', 'between', 'the', 'moon', 'and', 'the', 'sun']",a lunar eclipse, A lunar eclipse,2136
what part did glenne headley play in lonesome dove,"['what', 'part', 'did', 'glenne', 'headley', 'play', 'in', 'lonesome', 'dove']",, Elmira Boot Johnson,5340
what part of a chicken are buffalo wings,"['what', 'part', 'of', 'a', 'chicken', 'are', 'buffalo', 'wings']",unbreaded chicken wing section flat or drumette, chicken wing section ( flat or drumette ),4701
what part of london is the east end,"['what', 'part', 'of', 'london', 'is', 'the', 'east', 'end']",central east london and london docklands england," an area of Central , East London and London Docklands , England ; east of the Roman and medieval walls of the City of London , and north of the River Thames",2363
what part of the ship is the hull,"['what', 'part', 'of', 'the', 'ship', 'is', 'the', 'hull']",watertight body of a ship or boat above the hull is the superstructure and or deckhouse, watertight body,782
what part of the world is america in,"['what', 'part', 'of', 'the', 'world', 'is', 'america', 'in']",western hemisphere, western hemisphere,4550
what period follows the end of the bronze age in greece,"['what', 'period', 'follows', 'the', 'end', 'of', 'the', 'bronze', 'age', 'in', 'greece']",roughly years, Greek Dark Ages,1213
what physical effect causes circulation in the atmosphere of jupiter,"['what', 'physical', 'effect', 'causes', 'circulation', 'in', 'the', 'atmosphere', 'of', 'jupiter']",convection, convection,2687
what piece do you need to win in chess,"['what', 'piece', 'do', 'you', 'need', 'to', 'win', 'in', 'chess']",sixteen, king,3847
what plate is the sierra nevada mountains on,"['what', 'plate', 'is', 'the', 'sierra', 'nevada', 'mountains', 'on']",magma, Farallon Plate,4229
what religion is the owner of chick fil a,"['what', 'religion', 'is', 'the', 'owner', 'of', 'chick', 'fil', 'a']",southern baptist, Southern Baptist,3255
what religious groups lived in the new england colonies,"['what', 'religious', 'groups', 'lived', 'in', 'the', 'new', 'england', 'colonies']",puritans, Puritans,413
what right guarantees that we must be treated the same as everyone else under the law,"['what', 'right', 'guarantees', 'that', 'we', 'must', 'be', 'treated', 'the', 'same', 'as', 'everyone', 'else', 'under', 'the', 'law']",equality before the law also known as equality under the law equality in the eyes of the law or legal equality is the principle that each independent human being must be treated equally by the law principle of isonomy, Equality before the law,3618
what season of the game of thrones is it,"['what', 'season', 'of', 'the', 'game', 'of', 'thrones', 'is', 'it']",seventh, seventh season,2696
what song did kid rock and sheryl crow sing together,"['what', 'song', 'did', 'kid', 'rock', 'and', 'sheryl', 'crow', 'sing', 'together']",picture, `` Picture '',5261
what sort of story is the scarlet letter,"['what', 'sort', 'of', 'story', 'is', 'the', 'scarlet', 'letter']",romantic historical, Romantic,1118
what station is the breakfast club on iheartradio,"['what', 'station', 'is', 'the', 'breakfast', 'club', 'on', 'iheartradio']",power new york city, Power 105.1,2698
what style of art did van gogh do,"['what', 'style', 'of', 'art', 'did', 'van', 'gogh', 'do']",post impressionist, Post-Impressionist,1997
what team has the best record in major league baseball history,"['what', 'team', 'has', 'the', 'best', 'record', 'in', 'major', 'league', 'baseball', 'history']",chicago cubs, Chicago Cubs,5499
what team was lebron james on before lakers,"['what', 'team', 'was', 'lebron', 'james', 'on', 'before', 'lakers']",, Cleveland Cavaliers,1129
what the world needs now is love singer,"['what', 'the', 'world', 'needs', 'now', 'is', 'love', 'singer']",hal david and music composed by burt bacharach first recorded and made popular by jackie deshannon, Jackie DeShannon,3768
